,ask_price_1,ask_size_1,bid_price_1,bid_size_1,ask_price_2,ask_size_2,bid_price_2,bid_size_2,ask_price_3,ask_size_3,bid_price_3,bid_size_3,ask_price_4,ask_size_4,bid_price_4,bid_size_4,ask_price_5,ask_size_5,bid_price_5,bid_size_5,ask_price_6,ask_size_6,bid_price_6,bid_size_6,ask_price_7,ask_size_7,bid_price_7,bid_size_7,ask_price_8,ask_size_8,bid_price_8,bid_size_8,ask_price_9,ask_size_9,bid_price_9,bid_size_9,ask_price_10,ask_size_10,bid_price_10,bid_size_10
2019-06-28 09:30:00.000000000,99976,100,,,100055,100,,,100109,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-28 09:30:00.000000001,100055,100,,,100109,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-28 09:30:00.000000003,100055,100,,,100102,100,,,100109,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-28 09:30:00.000000005,100036,100,,,100055,100,,,100102,100,,,100109,100,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-28 09:30:00.000000006,100036,100,99896,100,100055,100,99889,100,100102,100,,,100109,100,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-28 09:30:00.000000010,100036,100,99952,100,100055,100,99896,100,100102,100,99889,100,100109,100,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-28 09:30:00.000000012,100036,100,99952,100,100055,100,99896,100,100085,100,99889,100,100102,100,,,100109,100,,,,,,,,,,,,,,,,,,,,,,
2019-06-28 09:30:00.000000013,100055,100,99952,100,100085,100,99896,100,100102,100,99889,100,100109,100,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-28 09:30:00.000000016,100055,100,100044,100,100085,100,99952,100,100102,100,99896,100,100109,100,99889,100,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-28 09:30:00.000000017,100055,100,99952,100,100085,100,99896,100,100102,100,99889,100,100109,100,99879,100,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-28 09:30:00.000000018,100055,100,99952,100,100085,100,99896,100,100102,100,99889,100,100109,100,99879,100,100116,100,,,,,,,,,,,,,,,,,,,,,,
